HiC_scaffold_8	lin_1	0
HiC_scaffold_12	lin_2	0
HiC_scaffold_10	lin_3	0
HiC_scaffold_11	lin_4	0
HiC_scaffold_6	lin_5	0
HiC_scaffold_13	lin_6	0
HiC_scaffold_1	lin_7	0
HiC_scaffold_7	lin_8	0
HiC_scaffold_16	lin_9	0
HiC_scaffold_21	lin_10	0
HiC_scaffold_20	lin_11	0
HiC_scaffold_5	lin_12	0
HiC_scaffold_9	lin_13	0
HiC_scaffold_23	lin_14	0
HiC_scaffold_22	lin_15	0
HiC_scaffold_19	lin_16	0
HiC_scaffold_17	lin_17	0
HiC_scaffold_4	lin_18	0
HiC_scaffold_18	lin_19	0
HiC_scaffold_14	lin_20	0
HiC_scaffold_3	lin_X1	0
HiC_scaffold_2	lin_X2	0
HiC_scaffold_15	lin_X3	0
